source_kind	component_section_id	component_name	ie_name	component_kind	usage_or_type	path_signature	tag_text	tag_value	condition_program_index	condition_text
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.4.1	Frame of Reference	Frame of Reference	module	C				120	Derivation Image Functional Group ( ) is not present
component_usage	sect_C.12.2	Common Instance Reference	Image	module	C				123	Derivation Image Functional Group ( ) is present
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.1	Pixel Measures		functional_group	C				124	Derivation Image Functional Group ( ) is not present and the Frame of Reference is defined in the patient-relative Reference Coordinate System
component_usage	sect_C.7.6.16.2.3	Plane Position (Patient)		functional_group	C				124	Derivation Image Functional Group ( ) is not present and the Frame of Reference is defined in the patient-relative Reference Coordinate System
component_usage	sect_C.7.6.16.2.4	Plane Orientation (Patient)		functional_group	C				124	Derivation Image Functional Group ( ) is not present and the Frame of Reference is defined in the patient-relative Reference Coordinate System
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				128	Pixel Measures ( ) or either Plane Position (Patient) () or Plane Orientation (Patient) () (if the Frame of Reference is defined in the patient-relative Reference Coordinate System), or Plane Position (Slide) () (if the Frame of Reference is defined in the Slide Coordinate System) Functional Groups are not present
component_usage	sect_C.7.6.16.2.2	Frame Content		functional_group	C				129	not empty
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				133	Ophthalmic Photography Reference Image is available
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				135	Ophthalmic Photography Reference Image available
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				97	contrast was administered
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				136	cardiac synchronization was used
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				87	the image or Frame has been planned on another image or Frame, may be present otherwise
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.12.2	Common Instance Reference	Surface	module	C				143	the surface has been derived from another SOP Instance
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				63	cardiac synchronization was applied
component_usage	sect_C.7.6.18.2	Respiratory Synchronization	Image	module	C				64	respiratory synchronization was applied
component_usage	sect_C.8.24.4	IVUS Image	Image	module	C				144	Modality = IVUS
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.7.6.16.2.7	Cardiac Synchronization		functional_group	C				146	Cardiac Synchronization is used
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.7.6.16.2.17	Respiratory Synchronization		functional_group	C				147	Respiratory Synchronization is used
component_usage	sect_C.7.6.16.2.23	Temporal Position		functional_group	C				148	Frames are temporally related and not temporally referenced to a Cardiac or Respiratory event
component_usage	sect_C.7.6.4	Contrast/Bolus	Image	module	C				10	contrast media was used in this image
component_usage	sect_C.27.1	Surface Mesh	Surface Mesh	module	C				52	is present
component_usage	sect_C.12.2	Common Instance Reference	Plan	module	C				149	not conveyed by a Unified Procedure Step
component_usage	sect_C.7.6.18.1	Cardiac Synchronization	Image	module	C				136	cardiac synchronization was used
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				37	the image or Frame has been derived from another SOP Instance
component_usage	sect_C.8.27.6.2	Intravascular Frame Content		functional_group	C				152	Intravascular Acquisition (0018,3100) equals MEASURED or Presentation Intent Type (0008,0068) equals FOR PRESENTATION
component_usage	sect_C.7.6.15	Bitmap Display Shutter	Image	module	C				155	a Shutter is to be applied to the image
component_usage	sect_C.8.28.3	Ophthalmic Thickness Map Quality Rating	Image	module	C				156	a quality rating value exists for the ophthalmic map
component_usage	sect_C.7.6.4	Contrast/Bolus	Image	module	C				10	contrast media was used in this image
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				158	Referenced Image Sequence (0008,1140) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				159	Source Image Sequence (0008,2112) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.18	Irradiation Event Identification		functional_group	C				163	Irradiation Event UID (0008,3010) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.25.3	Image Frame Conversion Source		functional_group	C				164	created by conversion from a DICOM source
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				158	Referenced Image Sequence (0008,1140) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				159	Source Image Sequence (0008,2112) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.25.3	Image Frame Conversion Source		functional_group	C				164	created by conversion from a DICOM source
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.5	Referenced Image		functional_group	C				158	Referenced Image Sequence (0008,1140) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.6	Derivation Image		functional_group	C				159	Source Image Sequence (0008,2112) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.18	Irradiation Event Identification		functional_group	C				163	Irradiation Event UID (0008,3010) was present in any of the Classic Images that were converted
component_usage	sect_C.7.6.16.2.25.3	Image Frame Conversion Source		functional_group	C				164	created by conversion from a DICOM source
component_usage	sect_C.7.4.2	Synchronization	Frame of Reference	module	C				21	time synchronization was applied
component_usage	sect_C.7.6.4b	Enhanced Contrast/Bolus	Image	module	C				86	contrast media was applied
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
component_usage	sect_C.7.6.16.2.12	Contrast/Bolus Usage		functional_group	C				106	the is present
component_usage	sect_C.8.31.2	Breast X-Ray Positioner		functional_group	C				168	X-Ray Source moves relative to the Patient
component_usage	sect_C.8.31.3	Breast X-Ray Detector		functional_group	C				169	X-Ray Detector plane is not normal to the X-Ray beam vector
component_usage	sect_C.7.6.3	Image Pixel	Image	module	C				170	integer pixels
component_usage	sect_C.7.6.24	Floating Point Image Pixel	Image	module	C				171	32 bit floating point pixels
component_usage	sect_C.7.6.25	Double Floating Point Image Pixel	Image	module	C				172	64 bit floating point pixels
component_usage	sect_C.12.2	Common Instance Reference	Image	module	C				176	Referenced Image Functional Group ( ) or Derivation Image Functional Group () is present
component_usage	sect_C.12.3	Frame Extraction	Image	module	C				6	the SOP Instance was created in response to a Frame-Level retrieve request
