uid_value	sop_class_name	sop_class_keyword	iod_xml_id	iod_title	part04_section_id	retired
1.2.840.10008.5.1.4.1.1.88.70	Implantation Plan SR Storage	ImplantationPlanSRStorage	sect_A.35.12	Implantation Plan SR Document IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.71	Acquisition Context SR Storage	AcquisitionContextSRStorage	sect_A.35.16	Acquisition Context SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.72	Simplified Adult Echo SR Storage	SimplifiedAdultEchoSRStorage	sect_A.35.17	Simplified Adult Echo SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.73	Patient Radiation Dose SR Storage	PatientRadiationDoseSRStorage	sect_A.35.18	Patient Radiation Dose SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.74	Planned Imaging Agent Administration SR Storage	PlannedImagingAgentAdministrationSRStorage	sect_A.35.19	Planned Imaging Agent Administration SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.75	Performed Imaging Agent Administration SR Storage	PerformedImagingAgentAdministrationSRStorage	sect_A.35.20	Performed Imaging Agent Administration SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.76	Enhanced X-Ray Radiation Dose SR Storage	EnhancedXRayRadiationDoseSRStorage	sect_A.35.22	Enhanced X-Ray Radiation Dose SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.88.77	Waveform Annotation SR Storage	WaveformAnnotationSRStorage	sect_A.35.23	Waveform Annotation SR IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.90.1	Content Assessment Results Storage	ContentAssessmentResultsStorage	sect_A.81	Content Assessment Results IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.91.1	Microscopy Bulk Simple Annotations Storage	MicroscopyBulkSimpleAnnotationsStorage	sect_A.87	Microscopy Bulk Simple Annotations IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.104.1	Encapsulated PDF Storage	EncapsulatedPDFStorage	sect_A.45.1	Encapsulated PDF IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.104.2	Encapsulated CDA Storage	EncapsulatedCDAStorage	sect_A.45.2	Encapsulated CDA IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.104.3	Encapsulated STL Storage	EncapsulatedSTLStorage	sect_A.85.1	Encapsulated STL IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.104.4	Encapsulated OBJ Storage	EncapsulatedOBJStorage	sect_A.85.2	Encapsulated OBJ IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.104.5	Encapsulated MTL Storage	EncapsulatedMTLStorage	sect_A.85.3	Encapsulated MTL IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.128	Positron Emission Tomography Image Storage	PositronEmissionTomographyImageStorage	sect_A.21	Positron Emission Tomography Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.130	Enhanced PET Image Storage	EnhancedPETImageStorage	sect_A.56	Enhanced PET Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.128.1	Legacy Converted Enhanced PET Image Storage	LegacyConvertedEnhancedPETImageStorage	sect_A.72	Legacy Converted Enhanced PET Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.131	Basic Structured Display Storage	BasicStructuredDisplayStorage	sect_A.33.5	Basic Structured Display IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.200.2	CT Performed Procedure Protocol Storage	CTPerformedProcedureProtocolStorage	sect_A.82.1	CT Performed Procedure Protocol IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.200.8	XA Performed Procedure Protocol Storage	XAPerformedProcedureProtocolStorage	sect_A.82.4	XA Performed Procedure Protocol IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.1	RT Image Storage	RTImageStorage	sect_A.17	RT Image IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.2	RT Dose Storage	RTDoseStorage	sect_A.18	RT Dose IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.3	RT Structure Set Storage	RTStructureSetStorage	sect_A.19	RT Structure Set IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.4	RT Beams Treatment Record Storage	RTBeamsTreatmentRecordStorage	sect_A.29	RT Beams Treatment Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.5	RT Plan Storage	RTPlanStorage	sect_A.20	RT Plan IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.6	RT Brachy Treatment Record Storage	RTBrachyTreatmentRecordStorage	sect_A.30	RT Brachy Treatment Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.7	RT Treatment Summary Record Storage	RTTreatmentSummaryRecordStorage	sect_A.31	RT Treatment Summary Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.8	RT Ion Plan Storage	RTIonPlanStorage	sect_A.49	RT Ion Plan IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.9	RT Ion Beams Treatment Record Storage	RTIonBeamsTreatmentRecordStorage	sect_A.50	RT Ion Beams Treatment Record IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.10	RT Physician Intent Storage	RTPhysicianIntentStorage	sect_A.86.1.2	RT Physician Intent IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.11	RT Segment Annotation Storage	RTSegmentAnnotationStorage	sect_A.86.1.3	RT Segment Annotation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.12	RT Radiation Set Storage	RTRadiationSetStorage	sect_A.86.1.4	RT Radiation Set IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.13	C-Arm Photon-Electron Radiation Storage	CArmPhotonElectronRadiationStorage	sect_A.86.1.5	C-Arm Photon-Electron Radiation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.14	Tomotherapeutic Radiation Storage	TomotherapeuticRadiationStorage	sect_A.86.1.6	Tomotherapeutic Radiation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.15	Robotic-Arm Radiation Storage	RoboticArmRadiationStorage	sect_A.86.1.7	Robotic-Arm Radiation IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.16	RT Radiation Record Set Storage	RTRadiationRecordSetStorage	sect_A.86.1.8	RT Radiation Record Set IOD	sect_B.5	N
1.2.840.10008.5.1.4.1.1.481.17	RT Radiation Salvage Record Storage	RTRadiationSalvageRecordStorage	sect_A.86.1.9	RT Radiation Salvage Record IOD	sect_B.5	N
